Date,Open,High,Low,Close,ChangePct,AmplitudePct,Volume,Amount,TurnoverRate,TradeCount
2021-11-25,2483.783,2501.636,2479.177,2487.575,-0.21,0.9,1390720000.0,26280954000.0,0.0,1669994.0
2021-11-26,2481.59,2484.601,2463.188,2479.319,-0.33,0.86,1335031400.0,22690392000.0,0.0,1652837.0
2021-11-29,2441.946,2490.654,2435.587,2486.283,0.28,2.22,1575569100.0,24843626000.0,0.0,1846230.0
2021-11-30,2496.869,2550.835,2496.869,2530.685,1.79,2.17,1707289300.0,25345379000.0,0.0,1896598.0
2021-12-01,2528.083,2543.869,2526.615,2535.072,0.17,0.68,1447873300.0,21045821000.0,0.0,1628953.0
2021-12-02,2539.916,2539.916,2488.31,2489.273,-1.81,2.04,1486037800.0,22601262000.0,0.0,1650089.0
2021-12-03,2495.803,2533.93,2495.803,2529.971,1.63,1.53,1407170900.0,21475473000.0,0.0,1581630.0
2021-12-06,2532.34,2534.112,2491.791,2496.079,-1.34,1.67,1530337000.0,22396313000.0,0.0,1830553.0
2021-12-07,2501.868,2505.388,2435.004,2445.62,-2.02,2.82,1411526300.0,20920493000.0,0.0,1792287.0
2021-12-08,2453.752,2509.647,2450.644,2506.911,2.51,2.41,1448603600.0,21274804000.0,0.0,1782577.0
2021-12-09,2506.293,2521.882,2505.328,2515.763,0.35,0.66,1661707900.0,22525881000.0,0.0,1855543.0
2021-12-10,2507.58,2512.484,2497.647,2506.765,-0.36,0.59,1408585200.0,20267582000.0,0.0,1667513.0
2021-12-13,2514.142,2517.111,2492.425,2513.543,0.27,0.98,1495514300.0,19256932000.0,0.0,1564038.0
2021-12-14,2510.238,2550.376,2507.502,2543.811,1.2,1.71,1631690100.0,21731059000.0,0.0,1750859.0
2021-12-15,2548.066,2557.235,2536.488,2540.544,-0.13,0.82,1551926400.0,21489049000.0,0.0,1727163.0
2021-12-16,2557.971,2581.192,2557.971,2579.006,1.51,0.91,1706211100.0,24314555000.0,0.0,1758787.0
2021-12-17,2586.645,2586.645,2543.089,2543.922,-1.36,1.69,1846291700.0,24982709000.0,0.0,1879927.0
2021-12-20,2537.197,2554.534,2497.263,2500.772,-1.7,2.25,1543277000.0,20685447000.0,0.0,1708066.0
2021-12-21,2495.094,2531.859,2495.094,2531.124,1.21,1.47,1399716900.0,17646773000.0,0.0,1575360.0
2021-12-22,2534.224,2561.557,2527.458,2559.453,1.12,1.35,1544842300.0,20538899000.0,0.0,1704192.0
2021-12-23,2559.277,2563.779,2538.025,2551.85,-0.3,1.01,1405907700.0,18980334000.0,0.0,1558426.0
2021-12-24,2553.599,2556.966,2502.972,2504.746,-1.85,2.12,1581619200.0,18690565000.0,0.0,1606035.0
2021-12-27,2503.341,2526.341,2492.976,2514.419,0.39,1.33,1241017200.0,15694890000.0,0.0,1397571.0
2021-12-28,2518.894,2550.78,2518.865,2550.484,1.43,1.27,1323763910.0,16318142000.0,0.0,1417050.0
2021-12-29,2550.416,2578.037,2542.613,2573.483,0.9,1.39,1713596300.0,23416800000.0,0.0,1823967.0
2021-12-30,2567.258,2613.414,2565.885,2602.082,1.11,1.85,1730165600.0,24401071000.0,0.0,1883309.0
2021-12-31,2603.619,2613.58,2592.196,2603.224,0.04,0.82,1572080000.0,21811358000.0,0.0,1694753.0
2022-01-04,2607.221,2622.918,2597.746,2614.759,0.44,0.97,1597202600.0,22666706000.0,0.0,1794485.0
